customer_id,company_name,industry,company_size,country_code,country_name,signup_date,signup_source,is_active,churned_at,churn_reason,nps_score,plan_name,plan_tier,current_sub_status,current_mrr,total_events,total_sessions,avg_session_duration,distinct_features,total_ltv,ticket_count,escalated_tickets,avg_satisfaction,onboarding_steps_completed,is_churned,segment,segment_name,high_engagement,recency_days
12,QuarkDev,Manufacturing,small,JP,Japan,2024-10-27,referral,True,,,,Enterprise,enterprise,active,99.0,45,36,1196.4888888888888,14,2032.31,6.0,1.0,5.0,4.0,0,1,Engaged Free/Low-Tier,1,181
13,Vertex Labs,Real Estate,medium,GB,United Kingdom,2025-07-16,referral,False,2025-09-16 01:57:15,Switched to competitor,1.0,Free,free,cancelled,0.0,33,26,1338.6363636363637,11,665.3299999999999,1.0,0.0,3.0,5.0,1,3,Steady Users,0,178
14,Keen Ventures,Consulting,small,CA,Canada,2024-02-25,referral,True,,,,Enterprise,enterprise,active,74.25,43,34,1351.6744186046512,14,3288.83,7.0,2.0,4.0,5.0,0,2,Steady Users,1,199
15,DataLogic,Insurance,enterprise,US,United States,2024-04-18,referral,True,,,,Starter,starter,active,12.0,39,35,1807.5641025641025,13,1903.7,5.0,0.0,3.5,2.0,0,3,Steady Users,0,180
16,Iris Labs,Healthcare,enterprise,GB,United Kingdom,2023-06-18,event,True,,,,Starter,starter,active,10.0,51,41,1572.2745098039215,13,559.75,6.0,0.0,4.0,4.0,0,1,Engaged Free/Low-Tier,1,186
17,DriftCloud,Legal,enterprise,JP,Japan,2024-08-16,organic,True,,,6.0,Starter,starter,active,9.6,42,30,1056.7380952380952,14,275.45,7.0,0.0,4.333333333333333,5.0,0,1,Engaged Free/Low-Tier,1,178
18,LinkIO,Retail,medium,US,United States,2025-06-01,partner,True,,,10.0,Professional,professional,active,39.0,48,39,1648.5625,14,1790.7,4.0,0.0,,7.0,0,0,At-Risk / Dormant,1,233
19,Flow Corp,Logistics,medium,BR,Brazil,2024-02-10,referral,False,2025-07-25 09:00:24,Poor support experience,8.0,Professional,professional,cancelled,32.5,37,31,1780.054054054054,13,3102.36,3.0,1.0,,4.0,1,2,Steady Users,0,213
20,AcmeHQ,Real Estate,small,US,United States,2025-06-19,event,True,,,7.0,Enterprise,enterprise,active,82.5,38,29,1332.5263157894738,13,1391.72,3.0,1.0,,4.0,0,3,Steady Users,0,184
21,NexusStack,Logistics,enterprise,JP,Japan,2023-04-20,partner,True,,,6.0,Professional,professional,active,39.0,44,34,1321.590909090909,14,892.28,0.0,0.0,,4.0,0,1,Engaged Free/Low-Tier,1,183
22,Onyx Analytics,Media,medium,DE,Germany,2023-12-08,event,True,,,,Professional Plus,professional,active,49.17,42,32,1512.1904761904761,14,749.47,7.0,0.0,5.0,8.0,0,1,Engaged Free/Low-Tier,1,183
23,KitePro,Legal,medium,JP,Japan,2025-05-04,organic,True,,,7.0,Starter Plus,starter,active,15.83,44,30,1280.4545454545455,14,945.8399999999999,4.0,0.0,5.0,4.0,0,1,Engaged Free/Low-Tier,1,191
24,TidalStudio,Insurance,enterprise,US,United States,2025-06-24,paid_ads,True,,,,Starter Plus,starter,active,15.83,32,30,1839.3125,13,617.13,8.0,1.0,4.666666666666667,2.0,0,3,Steady Users,0,192
25,PulseSolutions,Insurance,small,AU,Australia,2025-06-03,referral,True,,,4.0,Free,free,active,0.0,38,32,1336.7631578947369,13,2039.09,1.0,0.0,4.0,4.0,0,3,Steady Users,0,212
26,YieldAI,E-commerce,small,CA,Canada,2023-07-17,event,True,,,2.0,Enterprise,enterprise,active,99.0,40,35,1676.85,12,3300.94,7.0,2.0,4.333333333333333,4.0,0,0,At-Risk / Dormant,0,252
27,WaveStack,Logistics,enterprise,JP,Japan,2023-09-29,organic,False,2025-02-03 08:53:39,Budget cuts,6.0,Professional,professional,cancelled,32.5,44,33,1271.1136363636363,13,3600.84,5.0,1.0,5.0,3.0,1,2,Steady Users,1,203
28,Keen Software,Education,small,FR,France,2023-03-13,organic,True,,,,Starter Plus,starter,active,19.0,40,38,1614.225,14,2128.0499999999997,2.0,0.0,1.0,5.0,0,1,Engaged Free/Low-Tier,0,183
29,QuestSystems,Education,medium,DE,Germany,2024-03-06,paid_ads,True,,,9.0,Professional Plus,professional,active,49.17,41,34,1224.9756097560976,13,346.65999999999997,7.0,0.0,3.0,6.0,0,0,At-Risk / Dormant,0,232
30,NexusVentures,Media,enterprise,US,United States,2024-04-21,referral,True,,,,Starter,starter,active,12.0,29,24,1744.1379310344828,12,4773.59,5.0,0.0,,3.0,0,2,Steady Users,0,179
31,VineSolutions,Education,medium,SG,Singapore,2023-08-19,referral,True,,,2.0,Professional,professional,active,39.0,46,35,1280.891304347826,13,2492.45,7.0,0.0,4.0,5.0,0,0,At-Risk / Dormant,1,231
32,Arc Stack,Real Estate,small,FR,France,2025-05-31,paid_ads,True,,,7.0,Starter Plus,starter,active,15.83,26,21,1334.7307692307693,14,469.77,7.0,1.0,3.3333333333333335,6.0,0,3,Steady Users,0,177
33,SageDev,Media,small,US,United States,2025-08-30,organic,True,,,9.0,Professional Plus,professional,active,59.0,33,26,1310.8484848484848,11,265.84000000000003,3.0,0.0,,6.0,0,3,Steady Users,0,204
34,JadeHQ,Legal,enterprise,CA,Canada,2024-06-17,event,True,,,7.0,Professional,professional,active,33.15,39,33,1383.7179487179487,14,288.61,2.0,0.0,4.0,5.0,0,0,At-Risk / Dormant,0,223
35,PulseAnalytics,Telecommunications,medium,US,United States,2024-02-22,organic,True,,,2.0,Starter,starter,active,10.0,33,25,1461.3030303030303,11,603.78,6.0,0.0,5.0,4.0,0,3,Steady Users,0,186
36,YieldHub,Legal,small,BR,Brazil,2025-09-03,partner,True,,,9.0,Professional Plus,professional,active,59.0,42,34,1327.904761904762,14,518.87,5.0,0.0,5.0,5.0,0,1,Engaged Free/Low-Tier,1,213
37,Flux Labs,Manufacturing,small,SG,Singapore,2025-10-01,organic,True,,,7.0,Professional,professional,active,39.0,42,31,1279.904761904762,12,1571.56,5.0,0.0,3.0,6.0,0,3,Steady Users,1,195
38,FlowStack,Retail,medium,US,United States,2025-06-19,organic,True,,,,Enterprise,enterprise,active,82.5,48,38,1414.8333333333333,14,571.89,2.0,0.0,,6.0,0,1,Engaged Free/Low-Tier,1,182
39,QuarkTech,Legal,medium,US,United States,2025-08-30,paid_ads,True,,,,Free,free,active,0.0,43,31,1230.1162790697674,13,961.02,9.0,0.0,3.0,3.0,0,0,At-Risk / Dormant,1,223
40,PulseDigital,Healthcare,medium,GB,United Kingdom,2025-02-04,paid_ads,True,,,,Starter,starter,active,10.0,32,24,1498.34375,13,5115.18,6.0,1.0,3.0,4.0,0,2,Steady Users,0,186
41,TidalSystems,Telecommunications,small,BR,Brazil,2025-04-30,referral,True,,,9.0,Starter,starter,active,12.0,38,32,1538.1842105263158,14,3622.47,4.0,1.0,2.6666666666666665,6.0,0,2,Steady Users,0,184
42,KeenAI,Manufacturing,large,IN,India,2025-09-10,referral,True,,,,Professional Plus,professional,active,49.17,29,25,1366.9310344827586,12,1111.3,9.0,2.0,4.0,3.0,0,3,Steady Users,0,177
43,TrekDigital,Legal,medium,SG,Singapore,2025-04-25,referral,True,,,9.0,Free,free,active,0.0,42,33,1171.095238095238,13,1358.23,4.0,0.0,,5.0,0,1,Engaged Free/Low-Tier,1,210
44,Drift Ventures,Real Estate,large,AU,Australia,2025-03-27,event,True,,,8.0,Free,free,active,0.0,41,28,1153.8536585365853,13,1035.98,3.0,0.0,4.0,3.0,0,3,Steady Users,0,193
45,JadeLabs,E-commerce,small,GB,United Kingdom,2024-05-17,organic,True,,,6.0,Free,free,active,0.0,50,40,1330.04,14,746.19,4.0,0.0,4.0,7.0,0,1,Engaged Free/Low-Tier,1,178
46,SagePlatform,Real Estate,small,CA,Canada,2024-12-20,partner,True,,,5.0,Free,free,active,0.0,40,32,1304.775,13,2826.69,2.0,0.0,,4.0,0,2,Steady Users,0,214
47,UltraSystems,Insurance,large,US,United States,2024-06-21,partner,True,,,,Starter Plus,starter,active,19.0,29,22,1378.7931034482758,11,763.39,1.0,0.0,,5.0,0,3,Steady Users,0,191
48,SyncPlatform,Education,small,FR,France,2025-08-24,event,False,2025-10-29 13:03:59,Not enough users,0.0,Enterprise,enterprise,cancelled,70.12,42,31,1269.357142857143,13,619.69,2.0,1.0,4.0,4.0,1,1,Engaged Free/Low-Tier,1,185
49,EchoIO,Finance,small,DE,Germany,2024-10-06,event,True,,,9.0,Free,free,active,0.0,40,31,1514.75,14,1024.57,8.0,0.0,3.0,4.0,0,0,At-Risk / Dormant,0,229
50,Warp Corp,Real Estate,medium,BR,Brazil,2024-08-25,referral,True,,,8.0,Free,free,active,0.0,44,37,1464.6363636363637,12,479.35,4.0,0.0,,5.0,0,3,Steady Users,1,208
51,WarpSoftware,Education,large,US,United States,2024-12-06,event,True,,,5.0,Starter Plus,starter,active,15.83,51,44,1635.2745098039215,14,549.6,3.0,0.0,4.0,4.0,0,0,At-Risk / Dormant,1,245
52,Orbit Analytics,Insurance,enterprise,SG,Singapore,2024-10-25,event,False,2025-03-07 03:52:26,No longer needed,0.0,Free,free,cancelled,0.0,41,30,1370.6341463414635,14,423.41,2.0,0.0,,4.0,1,0,At-Risk / Dormant,0,230
53,MistPro,Telecommunications,small,CA,Canada,2024-05-20,organic,True,,,10.0,Free,free,active,0.0,45,36,1403.4222222222222,14,4153.05,5.0,0.0,4.0,4.0,0,2,Steady Users,1,171
54,Orbit Ops,Retail,enterprise,BR,Brazil,2025-02-20,event,True,,,8.0,Free,free,active,0.0,39,33,1391.2051282051282,13,2248.98,4.0,1.0,,3.0,0,3,Steady Users,0,177
55,LunaVentures,Retail,medium,US,United States,2023-12-04,organic,True,,,8.0,Professional,professional,active,31.2,37,28,1544.837837837838,10,1452.15,4.0,0.0,2.0,1.0,0,3,Steady Users,0,187
56,Flow Works,Education,small,US,United States,2024-07-09,referral,True,,,7.0,Professional Plus,professional,active,59.0,30,25,1284.4333333333334,11,1905.73,7.0,0.0,4.0,6.0,0,3,Steady Users,0,198
57,OnyxHQ,E-commerce,small,JP,Japan,2024-10-07,organic,True,,,4.0,Professional,professional,active,32.5,45,37,1512.6888888888889,12,387.12,9.0,1.0,3.0,3.0,0,3,Steady Users,1,171
58,Hub HQ,Healthcare,large,US,United States,2025-09-30,partner,True,,,4.0,Starter Plus,starter,active,19.0,35,27,1416.057142857143,13,959.4200000000001,5.0,1.0,3.0,1.0,0,3,Steady Users,0,191
59,MistDev,Finance,enterprise,US,United States,2023-01-03,referral,True,,,8.0,Starter,starter,active,12.0,42,31,1459.5238095238096,13,1870.52,5.0,1.0,,4.0,0,1,Engaged Free/Low-Tier,1,179
60,JetHQ,Marketing,small,JP,Japan,2023-09-02,organic,True,,,9.0,Professional Plus,professional,active,59.0,41,33,1450.6341463414635,13,1061.77,5.0,0.0,4.0,4.0,0,1,Engaged Free/Low-Tier,0,195
61,UltraPro,Telecommunications,enterprise,AU,Australia,2023-02-07,referral,False,2025-09-10 19:31:16,Company closed,,Free,free,cancelled,0.0,50,42,1480.76,13,751.29,6.0,2.0,4.0,4.0,1,1,Engaged Free/Low-Tier,1,206
62,GridDev,Technology,large,US,United States,2024-12-10,organic,True,,,6.0,Starter Plus,starter,active,16.15,36,28,1373.4722222222222,14,35.69,4.0,0.0,3.0,2.0,0,1,Engaged Free/Low-Tier,0,184
63,UltraStack,Insurance,medium,JP,Japan,2025-02-03,referral,False,2025-04-12 05:33:23,,,Professional,professional,cancelled,39.0,51,34,1139.2745098039215,14,1876.64,8.0,0.0,,6.0,1,1,Engaged Free/Low-Tier,1,173
64,CoreSolutions,Telecommunications,small,US,United States,2024-06-27,paid_ads,True,,,,Starter,starter,active,10.0,46,36,1399.304347826087,14,452.39,0.0,0.0,,4.0,0,1,Engaged Free/Low-Tier,1,181
65,Yield Group,Logistics,small,CA,Canada,2023-01-10,paid_ads,True,,,6.0,Free,free,active,0.0,40,35,1648.2,14,1020.77,2.0,0.0,,5.0,0,0,At-Risk / Dormant,0,254
66,EdgeHQ,Real Estate,small,SG,Singapore,2025-05-23,event,True,,,8.0,Free,free,active,0.0,50,44,1521.04,13,2358.8199999999997,3.0,1.0,,5.0,0,1,Engaged Free/Low-Tier,1,217
67,Quest Logic,Education,small,BR,Brazil,2025-05-02,organic,True,,,9.0,Free,free,active,0.0,49,39,1327.591836734694,13,7025.54,5.0,0.0,1.0,6.0,0,2,Steady Users,1,179
68,Quark Ops,Insurance,large,SG,Singapore,2024-03-27,organic,False,2025-02-03 09:30:22,,8.0,Enterprise,enterprise,cancelled,82.5,43,33,1567.3488372093022,14,1734.46,3.0,0.0,4.0,4.0,1,0,At-Risk / Dormant,1,316
69,Ion Dynamics,Telecommunications,small,JP,Japan,2023-10-30,referral,True,,,3.0,Free,free,active,0.0,44,38,1770.8636363636363,12,2090.58,8.0,0.0,4.666666666666667,3.0,0,3,Steady Users,1,173
70,JetHub,Retail,large,FR,France,2024-02-09,event,False,2025-04-30 18:25:58,Switched to competitor,5.0,Professional,professional,cancelled,39.0,43,35,1349.3720930232557,14,396.87,8.0,0.0,4.25,5.0,1,1,Engaged Free/Low-Tier,1,175
71,LinkLogic,Marketing,small,SG,Singapore,2024-09-16,event,True,,,9.0,Enterprise Custom,enterprise,active,199.0,35,30,1643.6857142857143,11,2645.18,9.0,4.0,3.5,5.0,0,3,Steady Users,0,247
72,Cloud AI,Education,medium,US,United States,2025-08-30,organic,True,,,,Starter,starter,active,12.0,45,39,1760.5777777777778,14,1805.39,8.0,0.0,4.0,5.0,0,1,Engaged Free/Low-Tier,1,171
73,LinkPro,Telecommunications,medium,SG,Singapore,2024-01-15,organic,True,,,5.0,Starter,starter,active,9.6,36,28,1281.2222222222222,14,1928.91,5.0,0.0,4.666666666666667,5.0,0,1,Engaged Free/Low-Tier,0,181
74,GridOps,Telecommunications,large,IN,India,2023-08-06,organic,True,,,1.0,Starter Plus,starter,active,15.83,43,40,1921.6976744186047,13,1037.49,3.0,1.0,,1.0,0,0,At-Risk / Dormant,1,301
75,NovaTech,Media,small,BR,Brazil,2024-09-02,referral,False,2025-01-22 09:10:45,No longer needed,6.0,Free,free,cancelled,0.0,30,20,1034.8666666666666,13,289.46,6.0,0.0,4.0,4.0,1,3,Steady Users,0,187
76,Wave Platform,Real Estate,small,US,United States,2023-03-07,referral,True,,,,Starter,starter,active,10.0,35,25,1449.9714285714285,14,3652.33,6.0,0.0,5.0,4.0,0,2,Steady Users,0,221
77,Nexus AI,Legal,enterprise,SG,Singapore,2025-05-17,referral,True,,,,Professional,professional,active,39.0,46,36,1742.7173913043478,12,490.08,2.0,0.0,5.0,3.0,0,3,Steady Users,1,171
78,Rush Group,Logistics,medium,JP,Japan,2024-09-11,referral,True,,,,Professional Plus,professional,active,59.0,41,34,1563.1951219512196,14,482.09000000000003,3.0,0.0,2.0,3.0,0,1,Engaged Free/Low-Tier,0,176
79,PeakStack,Media,large,GB,United Kingdom,2025-01-17,organic,False,2025-07-31 17:43:43,Company closed,,Professional,professional,cancelled,32.5,41,36,1599.1463414634147,14,782.57,9.0,0.0,4.0,4.0,1,0,At-Risk / Dormant,0,243
80,JetOps,Healthcare,small,US,United States,2024-08-23,organic,True,,,8.0,Professional Plus,professional,active,59.0,60,47,1519.3833333333334,14,340.57,7.0,0.0,3.0,5.0,0,1,Engaged Free/Low-Tier,1,196
81,WaveOps,Manufacturing,enterprise,FR,France,2023-06-08,organic,True,,,3.0,Professional Plus,professional,active,47.2,42,33,1347.547619047619,14,1941.9199999999998,4.0,0.0,,3.0,0,0,At-Risk / Dormant,1,246
82,Orbit Corp,Retail,medium,BR,Brazil,2023-10-07,organic,True,,,6.0,Professional,professional,active,39.0,42,35,1282.4761904761904,13,1298.77,3.0,1.0,,3.0,0,1,Engaged Free/Low-Tier,1,174
83,LunaDigital,Manufacturing,small,US,United States,2024-03-05,organic,True,,,6.0,Free,free,active,0.0,48,42,1614.2291666666667,14,1276.44,7.0,1.0,3.6666666666666665,3.0,0,1,Engaged Free/Low-Tier,1,180
84,ZealVentures,Telecommunications,small,US,United States,2024-03-10,referral,True,,,6.0,Free,free,active,0.0,36,27,1537.25,14,1094.88,5.0,0.0,4.0,5.0,0,1,Engaged Free/Low-Tier,0,190
85,Rift Ops,Real Estate,medium,JP,Japan,2023-07-29,event,True,,,4.0,Free,free,active,0.0,40,26,1196.225,14,208.11,4.0,0.0,4.0,6.0,0,1,Engaged Free/Low-Tier,0,181
86,Flux Pro,Manufacturing,small,US,United States,2025-06-01,referral,True,,,7.0,Professional,professional,active,35.1,50,32,1117.76,14,1719.46,6.0,1.0,3.75,2.0,0,1,Engaged Free/Low-Tier,1,176
87,UltraVentures,Manufacturing,large,SG,Singapore,2024-09-24,organic,True,,,,Starter,starter,active,12.0,40,31,1200.775,13,1278.8899999999999,3.0,0.0,3.0,4.0,0,3,Steady Users,0,182
88,FlowCorp,E-commerce,medium,BR,Brazil,2025-03-08,organic,False,2025-10-22 06:02:56,,3.0,Free,free,cancelled,0.0,23,19,1535.5217391304348,13,4062.9700000000003,3.0,0.0,4.0,3.0,1,0,At-Risk / Dormant,0,250
89,WavePro,Logistics,enterprise,US,United States,2025-02-16,referral,True,,,9.0,Enterprise,enterprise,active,61.88,36,33,1866.861111111111,12,869.79,3.0,0.0,2.0,5.0,0,3,Steady Users,0,213
90,DriftHub,Real Estate,medium,SG,Singapore,2023-03-11,event,True,,,,Starter Plus,starter,active,19.0,42,34,1879.5238095238096,13,2934.75,7.0,4.0,3.0,4.0,0,2,Steady Users,1,182
91,LinkAI,Healthcare,small,CA,Canada,2025-09-27,organic,True,,,,Starter Plus,starter,active,19.0,32,27,1358.28125,13,341.83000000000004,1.0,0.0,,5.0,0,0,At-Risk / Dormant,0,227
92,DriftVentures,Insurance,large,US,United States,2023-06-04,organic,True,,,9.0,Free,free,active,0.0,34,27,1492.2058823529412,13,786.3399999999999,5.0,2.0,4.0,5.0,0,0,At-Risk / Dormant,0,220
93,TrekTech,Finance,small,GB,United Kingdom,2024-01-17,organic,True,,,9.0,Professional,professional,active,39.0,46,35,1477.7391304347825,14,1155.12,2.0,0.0,4.0,3.0,0,1,Engaged Free/Low-Tier,1,196
94,OnyxStack,Marketing,small,JP,Japan,2023-12-08,event,False,2025-06-05 10:37:34,No longer needed,,Free,free,cancelled,0.0,41,37,1712.5853658536585,12,554.34,3.0,0.0,5.0,3.0,1,3,Steady Users,0,214
95,PeakNet,Finance,medium,FR,France,2024-11-17,referral,True,,,,Professional Plus,professional,active,49.17,42,29,1470.6666666666667,14,536.6700000000001,4.0,0.0,,3.0,0,1,Engaged Free/Low-Tier,1,191
96,PeakOps,Marketing,small,IN,India,2023-05-21,organic,False,2024-09-21 11:55:43,,6.0,Enterprise,enterprise,cancelled,99.0,45,35,1561.7555555555555,14,1223.6,6.0,0.0,,4.0,1,1,Engaged Free/Low-Tier,1,174
97,QuestWorks,Real Estate,small,BR,Brazil,2023-06-19,partner,True,,,7.0,Starter,starter,active,10.8,36,28,1522.9444444444443,13,3296.45,3.0,0.0,,3.0,0,2,Steady Users,0,192
98,Vine HQ,E-commerce,medium,GB,United Kingdom,2025-08-27,organic,True,,,9.0,Starter Plus,starter,active,15.83,41,37,1643.5365853658536,12,680.1899999999999,6.0,1.0,,4.0,0,3,Steady Users,0,201
99,GlowDev,Finance,enterprise,GB,United Kingdom,2024-07-21,referral,True,,,,Starter Plus,starter,active,19.0,39,31,1134.923076923077,13,896.9200000000001,4.0,0.0,,5.0,0,3,Steady Users,0,177
100,SyncTech,Education,medium,JP,Japan,2025-06-24,organic,True,,,2.0,Starter,starter,active,12.0,46,35,1389.3260869565217,14,851.17,5.0,0.0,4.5,5.0,0,1,Engaged Free/Low-Tier,1,175
101,PulseLogic,Marketing,small,US,United States,2023-10-21,referral,True,,,9.0,Free,free,active,0.0,50,44,1400.0,12,2896.49,5.0,0.0,4.5,2.0,0,2,Steady Users,1,179
102,Flow Labs,Education,small,US,United States,2023-05-05,referral,False,2025-03-17 04:13:50,,,Starter,starter,cancelled,10.0,42,35,1686.9285714285713,14,1095.0,3.0,0.0,,5.0,1,1,Engaged Free/Low-Tier,1,192
103,EdgeSystems,Consulting,medium,JP,Japan,2023-01-02,referral,True,,,7.0,Starter,starter,active,10.8,48,42,1540.5208333333333,11,1899.55,2.0,0.0,5.0,5.0,0,3,Steady Users,1,173
104,Hive Dynamics,Media,enterprise,JP,Japan,2023-09-17,partner,True,,,2.0,Professional,professional,active,39.0,39,33,1485.871794871795,13,619.62,3.0,1.0,,3.0,0,0,At-Risk / Dormant,0,226
105,UnitOps,Insurance,medium,FR,France,2023-06-29,referral,True,,,,Starter Plus,starter,active,19.0,45,41,1883.1555555555556,14,2665.98,2.0,0.0,5.0,4.0,0,2,Steady Users,1,192
106,OnyxSolutions,Healthcare,large,CA,Canada,2023-11-14,referral,True,,,,Free,free,active,0.0,43,36,1605.9302325581396,14,160.01999999999998,4.0,0.0,4.5,3.0,0,1,Engaged Free/Low-Tier,1,178
107,QuarkAI,E-commerce,small,IN,India,2024-01-12,organic,True,,,7.0,Starter Plus,starter,active,19.0,48,39,1493.0416666666667,14,814.38,5.0,0.0,4.0,6.0,0,1,Engaged Free/Low-Tier,1,182
108,VertexSolutions,Consulting,small,JP,Japan,2025-04-22,event,False,2025-07-18 01:03:02,Company closed,2.0,Starter,starter,cancelled,12.0,30,25,1626.0666666666666,13,873.17,1.0,0.0,,6.0,1,0,At-Risk / Dormant,0,224
109,TidalHQ,Manufacturing,small,FR,France,2024-03-21,organic,True,,,,Starter Plus,starter,active,15.83,31,28,1651.4516129032259,13,2501.88,3.0,1.0,,4.0,0,3,Steady Users,0,193
110,EdgeOps,Marketing,medium,FR,France,2024-03-24,organic,False,2024-06-14 05:19:14,Missing features,,Starter,starter,cancelled,10.0,48,40,1552.5833333333333,14,1989.55,5.0,0.0,4.333333333333333,4.0,1,1,Engaged Free/Low-Tier,1,196
111,XenonLogic,Technology,medium,US,United States,2024-06-26,referral,True,,,6.0,Professional Plus,professional,active,49.17,39,33,1476.8461538461538,13,1791.61,2.0,0.0,4.5,5.0,0,3,Steady Users,0,205
112,Hive Logic,Telecommunications,medium,US,United States,2025-07-27,referral,True,,,4.0,Enterprise,enterprise,active,99.0,54,38,1406.9814814814815,14,1926.91,7.0,1.0,4.0,3.0,0,1,Engaged Free/Low-Tier,1,182
113,CoreTech,Retail,small,SG,Singapore,2024-12-29,paid_ads,True,,,,Professional,professional,active,39.0,43,34,1401.5348837209303,13,629.72,5.0,1.0,,2.0,0,1,Engaged Free/Low-Tier,1,196
114,Meta Digital,E-commerce,enterprise,CA,Canada,2025-06-24,referral,False,2025-09-22 01:23:57,Budget cuts,,Enterprise,enterprise,cancelled,99.0,45,33,1306.6888888888889,14,886.69,8.0,0.0,4.5,6.0,1,1,Engaged Free/Low-Tier,1,180
115,HiveCorp,Retail,medium,US,United States,2025-06-18,paid_ads,True,,,8.0,Starter Plus,starter,active,15.83,42,35,1454.4285714285713,13,2964.83,3.0,1.0,,4.0,0,2,Steady Users,1,185
116,BeamDev,Technology,enterprise,US,United States,2025-08-21,partner,True,,,2.0,Starter Plus,starter,active,15.83,43,32,1114.2093023255813,13,1108.45,5.0,0.0,2.5,5.0,0,1,Engaged Free/Low-Tier,1,203
117,Onyx Cloud,Real Estate,medium,US,United States,2024-10-01,organic,True,,,,Free,free,active,0.0,48,42,1444.7708333333333,14,487.89,6.0,3.0,4.666666666666667,4.0,0,1,Engaged Free/Low-Tier,1,179
118,Peak Hub,Real Estate,small,SG,Singapore,2024-10-04,event,True,,,,Starter,starter,active,12.0,49,40,1312.5714285714287,14,378.89,5.0,0.0,5.0,3.0,0,1,Engaged Free/Low-Tier,1,177
119,EchoPlatform,Logistics,medium,DE,Germany,2023-07-28,organic,True,,,9.0,Professional,professional,active,39.0,44,36,1456.6363636363637,14,1848.47,7.0,0.0,4.5,3.0,0,1,Engaged Free/Low-Tier,1,190
120,UnitStudio,Finance,enterprise,IN,India,2023-09-11,organic,False,2023-11-19 07:21:03,Poor support experience,,Free,free,cancelled,0.0,39,26,1299.8461538461538,12,1261.8600000000001,8.0,1.0,4.0,2.0,1,3,Steady Users,0,202
121,KeenPro,Insurance,small,CA,Canada,2024-02-07,partner,True,,,,Professional Plus,professional,active,49.17,41,28,1278.6341463414635,14,1095.78,3.0,0.0,5.0,5.0,0,1,Engaged Free/Low-Tier,0,214
122,Sync IO,Real Estate,enterprise,SG,Singapore,2023-09-28,organic,True,,,,Starter,starter,active,10.0,33,24,1159.969696969697,13,1236.1399999999999,4.0,1.0,,6.0,0,3,Steady Users,0,221
123,Jade Software,Marketing,medium,DE,Germany,2024-09-30,organic,True,,,10.0,Starter,starter,active,10.0,41,37,1567.7560975609756,13,2526.79,1.0,0.0,,4.0,0,0,At-Risk / Dormant,0,225
