ticket_id,customer_id,member_id,category,priority,status,subject,created_at,first_response_at,resolved_at,satisfaction_score,escalated,tags,company_name,is_active,plan_id,plan_tier
42,210,3030.0,technical,low,waiting_on_customer,Duplicate notifications being sent,2025-08-07 19:56:53,2025-08-10 13:56:53,,,False,"performance, enterprise, mobile, migration",FluxDynamics,True,5,professional
43,1089,,security,low,open,Integration with Slack not working,2024-10-05 04:08:51,,,,False,"urgent,migration,enterprise,billing",LinkOps,True,7,enterprise
44,980,,technical,critical,resolved,Account merge request,2025-07-17 16:42:24,2025-07-17 18:19:24,2025-07-18 11:19:24,,True,"migration,ux,bug",ZealPlatform,False,5,professional
45,106,1552.0,integration,high,resolved,Mobile app crashes on Android,2024-12-04 19:56:50,2024-12-04 21:56:50,2024-12-09 15:56:50,4.0,False,"gdpr , training , export , ux",OnyxSolutions,True,1,free
46,289,3931.0,feature_request,medium,in_progress,Export failing for large datasets,2025-04-28 17:37:48,2025-04-29 07:37:48,,,False,integration,OrbitIO,True,3,starter
47,55,912.0,technical,high,in_progress,Report generation timeout,2025-01-08 08:12:04,2025-01-08 15:12:04,,,False,"urgent, gdpr, security",LunaVentures,True,4,professional
48,1013,,technical,critical,in_progress,Mobile app crashes on Android,2024-05-20 05:55:14,2024-05-20 06:57:14,,,False,"export , enterprise , ux , api",SyncPro,True,5,professional
49,555,7099.0,performance,medium,in_progress,Feature request: dark mode,2025-01-15 20:09:57,2025-01-17 22:09:57,,,False,performance,QuestPlatform,False,6,enterprise
50,203,2887.0,performance,low,open,Mobile app crashes on Android,2025-10-24 04:49:28,,,,False,,Tidal Analytics,True,2,starter
51,1051,,security,medium,closed,Account merge request,2024-12-11 16:16:50,2024-12-12 19:16:50,2024-12-13 05:16:50,4.0,False,,BeamHQ,True,6,enterprise
52,544,6919.0,performance,high,closed,Cannot downgrade plan,2025-04-08 03:51:53,2025-04-08 11:51:53,2025-04-11 06:51:53,3.0,False,billing;export,SagePro,True,6,enterprise
53,381,4837.0,onboarding,high,resolved,Data import from CSV failing,2025-07-01 07:12:26,2025-07-01 15:12:26,2025-07-07 16:12:26,1.0,False,migration;urgent,EchoStack,True,1,free
54,3,29.0,billing,critical,waiting_on_customer,Webhook delivery failures,2023-11-18 15:01:56,2023-11-18 15:34:56,,,False,,Wave Group,True,1,free
55,843,,feature_request,low,in_progress,Billing discrepancy on latest invoice,2024-06-26 07:45:13,2024-06-29 07:45:13,,,False,,Jade AI,False,4,professional
56,401,5105.0,onboarding,medium,waiting_on_customer,Duplicate notifications being sent,2025-09-07 05:50:36,2025-09-09 22:50:36,,,False,api;bug;enterprise;billing,Core Corp,True,3,starter
57,1017,,integration,medium,closed,GDPR data export request,2025-01-22 22:51:43,2025-01-23 22:51:43,2025-01-27 03:51:43,,False,"documentation, ux, api",Zeal Platform,False,4,professional
58,8,111.0,onboarding,low,closed,Duplicate notifications being sent,2024-06-15 00:57:58,2024-06-17 13:57:58,2024-06-22 09:57:58,5.0,False,"urgent,api",Data Systems,True,1,free
59,545,6930.0,api,low,in_progress,SSO configuration help needed,2025-04-21 10:59:29,2025-04-24 03:59:29,,,False,"ux , onboarding , performance",Sage Ops,True,6,enterprise
60,83,1291.0,data_export,low,resolved,White label logo not displaying,2024-06-21 06:58:22,2024-06-24 04:58:22,2024-06-30 06:58:22,3.0,False,training,LunaDigital,True,1,free
61,769,,api,medium,in_progress,Mobile app crashes on Android,2024-12-14 06:06:54,2024-12-14 14:06:54,,,False,"onboarding,ux,gdpr",UnitSystems,True,6,enterprise
62,440,5607.0,billing,high,open,Cannot login to dashboard,2024-03-10 18:44:36,,,,False,,WaveIO,True,7,enterprise
63,739,,api,low,resolved,Slow loading on project boards,2024-10-09 15:29:46,2024-10-10 10:29:46,2024-10-14 11:29:46,4.0,False,"security, api, documentation",YieldCloud,True,2,starter
64,982,,billing,high,in_progress,Billing discrepancy on latest invoice,2024-09-29 01:14:30,2024-09-29 12:14:30,,,False,"sso,feature,ux,migration",Rush Ventures,True,6,enterprise
65,475,6075.0,technical,medium,resolved,Webhook delivery failures,2025-07-27 18:12:56,2025-07-28 17:12:56,2025-08-04 13:12:56,4.0,False,,IonOps,True,5,professional
66,645,8357.0,security,high,resolved,Audit log access denied,2025-10-27 08:56:04,2025-10-27 14:56:04,2025-10-29 00:56:04,5.0,True,urgent,BoltCloud,True,2,starter
67,167,2455.0,performance,medium,open,Billing discrepancy on latest invoice,2025-10-09 12:37:38,,,,False,,Quest Digital,True,1,free
68,654,8429.0,account,medium,waiting_on_customer,Permission settings not saving,2025-04-02 19:02:50,2025-04-04 23:02:50,,,False,billing;documentation;sso,Bolt Corp,True,4,professional
69,947,,data_export,medium,waiting_on_customer,Duplicate notifications being sent,2024-04-17 06:42:01,2024-04-19 07:42:01,,,False,"technical,documentation,billing,technical",OrbitLabs,True,5,professional
70,512,6504.0,data_export,high,waiting_on_customer,Data import from CSV failing,2024-02-11 13:30:43,2024-02-11 22:30:43,,,False,"documentation,export,sso,technical",RiftNet,True,2,starter
71,729,,billing,low,closed,Cannot login to dashboard,2025-10-04 00:22:17,2025-10-05 12:22:17,2025-10-09 17:22:17,3.0,False,"bug , api , migration",Sage Works,True,3,starter
72,266,3703.0,api,medium,resolved,Custom workflow automation broken,2024-08-29 21:37:52,2024-09-01 20:37:52,2024-09-08 09:37:52,4.0,False,"onboarding , documentation , performance",NovaOps,True,1,free
73,168,2463.0,integration,medium,resolved,White label logo not displaying,2025-06-19 20:36:40,2025-06-22 09:36:40,2025-06-26 10:36:40,4.0,False,technical,XenonNet,False,5,professional
74,167,2457.0,feature_request,high,in_progress,Audit log access denied,2025-08-19 04:51:58,2025-08-19 14:51:58,,,False,performance,Quest Digital,True,1,free
75,253,3539.0,account,medium,open,SSO configuration help needed,2025-04-06 09:28:02,,,,False,billing,Quest HQ,True,6,enterprise
76,836,,integration,medium,open,Data import from CSV failing,2025-10-01 11:54:36,,,,False,"performance , migration , enterprise",Xenon Analytics,True,5,professional
77,925,,billing,low,in_progress,Cannot login to dashboard,2025-05-26 21:09:23,2025-05-27 11:09:23,,,False,,DriftDynamics,True,1,free
78,1,1.0,onboarding,low,resolved,Time tracking sync issues,2024-11-28 09:13:22,2024-11-30 21:13:22,2024-12-01 01:13:22,2.0,False,"technical, training",Rush Platform,False,5,professional
79,720,,feature_request,low,closed,SSO configuration help needed,2025-07-09 05:43:06,2025-07-10 10:43:06,2025-07-13 00:43:06,1.0,False,"sso, mobile, billing, migration",MistAnalytics,True,1,free
80,258,3581.0,performance,high,in_progress,Billing discrepancy on latest invoice,2024-04-10 21:58:42,2024-04-10 23:58:42,,,False,training;feature;mobile;training,Mist Net,True,4,professional
81,412,5204.0,api,critical,open,Billing discrepancy on latest invoice,2025-10-13 09:11:22,,,,False,security,SageGroup,True,4,professional
82,1081,,billing,medium,resolved,GDPR data export request,2025-10-29 18:40:17,2025-10-31 15:40:17,2025-11-02 06:40:17,3.0,False,api;billing;enterprise,Edge Software,True,3,starter
83,917,,technical,medium,waiting_on_customer,Account merge request,2024-11-04 03:41:00,2024-11-06 07:41:00,,,False,,MetaOps,True,6,enterprise
84,323,4182.0,integration,low,closed,White label logo not displaying,2024-10-04 04:09:12,2024-10-06 22:09:12,2024-10-08 10:09:12,2.0,False,,NexusStudio,True,3,starter
85,330,4218.0,feature_request,low,in_progress,Data import from CSV failing,2025-10-30 07:21:07,2025-10-31 13:21:07,,,False,,JadeDev,True,1,free
86,882,,api,critical,open,Duplicate notifications being sent,2025-02-13 18:00:25,,,,False,"bug, performance",JetPlatform,True,5,professional
87,1003,,api,medium,open,Custom workflow automation broken,2025-05-04 18:51:25,,,,False,"sso, security",LinkWorks,True,3,starter
88,408,5175.0,account,low,in_progress,Gantt chart not rendering correctly,2025-08-27 02:25:20,2025-08-27 09:25:20,,,False,"integration,mobile,feature,performance",AcmePro,True,3,starter
89,209,3004.0,feature_request,low,open,Permission settings not saving,2025-04-14 14:14:42,,,,False,"onboarding,technical,integration,export",KeenLogic,True,6,enterprise
90,1100,,technical,medium,waiting_on_customer,Custom workflow automation broken,2024-05-27 21:33:36,2024-05-29 06:33:36,,,False,"technical,urgent",Sync Logic,True,5,professional
91,160,2339.0,integration,high,in_progress,API rate limiting issues,2025-02-22 12:23:54,2025-02-22 22:23:54,,,False,billing,FluxPlatform,True,1,free
92,1072,,security,medium,resolved,Permission settings not saving,2025-03-17 10:03:03,2025-03-19 14:03:03,2025-03-19 17:03:03,2.0,False,"mobile, ux, urgent, integration",XenonCorp,True,1,free
93,392,4947.0,security,high,waiting_on_customer,Feature request: dark mode,2024-01-08 05:35:42,2024-01-08 17:35:42,,,False,,Keen Pro,False,4,professional
94,840,,technical,high,open,Integration with Slack not working,2025-07-06 14:50:59,,,,False,"migration , mobile",ZealDynamics,True,3,starter
95,518,6596.0,integration,medium,resolved,Feature request: dark mode,2023-05-12 00:38:52,2023-05-13 02:38:52,2023-05-14 16:38:52,5.0,False,billing,HivePlatform,True,3,starter
96,1197,,security,low,resolved,Duplicate notifications being sent,2024-06-19 03:11:07,2024-06-19 18:11:07,2024-06-25 16:11:07,4.0,False,"feature,onboarding",Cloud Cloud,True,2,starter
97,310,4103.0,data_export,medium,resolved,Audit log access denied,2024-11-04 19:08:16,2024-11-07 04:08:16,2024-11-11 13:08:16,,False,,Hive Solutions,True,2,starter
98,784,,data_export,medium,waiting_on_customer,SSO configuration help needed,2023-11-11 10:18:29,2023-11-13 10:18:29,,,False,technical,TrekSoftware,True,3,starter
99,722,,feature_request,low,closed,Custom workflow automation broken,2024-12-25 14:29:00,2024-12-28 09:29:00,2024-12-29 01:29:00,4.0,False,technical,Sage Dynamics,True,4,professional
100,304,4046.0,performance,low,open,Report generation timeout,2023-11-26 18:30:46,,,,False,"sso, billing, gdpr",Pulse Dynamics,True,3,starter
101,644,8334.0,billing,low,resolved,Need to add more team members,2025-02-25 14:46:34,2025-02-28 09:46:34,2025-02-28 18:46:34,3.0,False,"documentation,onboarding,security,performance",Nova Pro,True,2,starter
102,17,367.0,data_export,high,closed,GDPR data export request,2025-06-10 20:10:18,2025-06-11 00:10:18,2025-06-12 09:10:18,4.0,False,urgent,DriftCloud,True,2,starter
103,598,7721.0,data_export,high,resolved,Cannot login to dashboard,2025-10-20 09:52:58,2025-10-20 18:52:58,2025-10-25 06:52:58,5.0,False,"gdpr, onboarding, training, bug",SyncCloud,True,6,enterprise
104,412,5206.0,performance,low,in_progress,API rate limiting issues,2025-10-21 04:05:58,2025-10-23 15:05:58,,,False,"technical,migration,api,bug",SageGroup,True,4,professional
105,539,6851.0,billing,high,waiting_on_customer,Audit log access denied,2024-10-23 02:25:44,2024-10-23 05:25:44,,,True,,GridWorks,True,6,enterprise
106,775,,integration,medium,waiting_on_customer,Need to add more team members,2023-12-31 15:34:56,2024-01-03 03:34:56,,,False,"training,technical",HubSoftware,True,2,starter
107,1081,,account,medium,waiting_on_customer,API rate limiting issues,2024-05-06 07:07:37,2024-05-07 08:07:37,,,False,"enterprise, integration, performance, api",Edge Software,True,3,starter
108,751,,api,medium,in_progress,Account merge request,2024-09-10 22:35:09,2024-09-13 02:35:09,,,False,"security, urgent, migration, ux, security",Xenon HQ,True,3,starter
109,1036,,integration,medium,resolved,Gantt chart not rendering correctly,2025-07-28 23:02:12,2025-07-31 23:02:12,2025-08-03 09:02:12,3.0,False,"ux,sso,billing",Mist Works,True,5,professional
110,538,6841.0,api,medium,waiting_on_customer,Gantt chart not rendering correctly,2023-08-12 12:47:12,2023-08-12 14:47:12,,,False,technical,IonDigital,True,4,professional
111,545,6931.0,security,low,resolved,Slow loading on project boards,2024-02-17 05:55:33,2024-02-18 16:55:33,2024-02-21 12:55:33,1.0,False,"security,migration,performance",Sage Ops,True,6,enterprise
112,424,5386.0,performance,low,in_progress,Account merge request,2024-03-05 05:48:51,2024-03-07 13:48:51,,,False,"feature, training, feature",IonVentures,False,5,professional
113,378,4814.0,account,low,open,GDPR data export request,2025-07-07 13:12:33,,,,False,"migration , security , technical",Bolt Digital,True,5,professional
114,423,5370.0,technical,medium,open,Cannot login to dashboard,2023-12-10 11:29:59,,,,False,"technical,security,gdpr,migration",SyncStudio,False,7,enterprise
115,865,,technical,medium,waiting_on_customer,Time tracking sync issues,2025-09-21 00:12:54,2025-09-23 07:12:54,,,False,ux,FlowWorks,True,3,starter
116,919,,integration,medium,in_progress,Gantt chart not rendering correctly,2023-12-09 11:42:32,2023-12-10 12:42:32,,,False,,OrbitPro,True,6,enterprise
117,974,,performance,critical,waiting_on_customer,Report generation timeout,2024-09-15 09:56:24,2024-09-15 11:24:24,,,False,"security, export, urgent",ArcLabs,True,1,free
118,1012,,onboarding,low,in_progress,Data import from CSV failing,2023-08-18 10:41:00,2023-08-21 08:41:00,,,False,,Luna Hub,True,5,professional
119,455,5829.0,onboarding,low,waiting_on_customer,SSO configuration help needed,2025-10-11 08:22:33,2025-10-13 03:22:33,,,False,billing;migration,HubWorks,True,4,professional
120,49,805.0,billing,low,waiting_on_customer,Slow loading on project boards,2025-02-08 02:52:21,2025-02-08 15:52:21,,,False,,EchoIO,True,1,free
121,939,,integration,low,resolved,Report generation timeout,2025-06-02 14:35:46,2025-06-04 07:35:46,2025-06-09 12:35:46,5.0,False,,HubGroup,True,1,free
122,104,1522.0,account,high,waiting_on_customer,Account merge request,2025-01-23 17:40:08,2025-01-24 02:40:08,,,True,"urgent , export , integration , feature",Hive Dynamics,True,4,professional
123,543,6907.0,feature_request,low,resolved,Gantt chart not rendering correctly,2025-07-04 19:22:25,2025-07-05 11:22:25,2025-07-12 10:22:25,5.0,False,urgent;api;export;bug,Nexus Pro,False,5,professional
124,707,,account,low,closed,Account merge request,2023-05-11 23:58:58,2023-05-14 07:58:58,2023-05-15 13:58:58,,False,,PeakHub,False,2,starter
125,953,,api,low,open,API rate limiting issues,2024-05-22 11:16:55,,,,False,"onboarding, feature, urgent, api",KiteNet,True,7,enterprise
126,118,1692.0,data_export,medium,open,Mobile app crashes on Android,2025-01-09 06:42:07,,,,False,onboarding,Peak Hub,True,2,starter
127,208,2973.0,technical,medium,in_progress,GDPR data export request,2025-08-19 13:46:06,2025-08-22 10:46:06,,,False,,Echo Dev,True,2,starter
128,1021,,feature_request,critical,open,GDPR data export request,2023-10-11 02:26:00,,,,True,,ZealSoftware,True,4,professional
129,397,5061.0,security,high,open,Duplicate notifications being sent,2025-05-29 03:35:36,,,,False,"export , performance , enterprise , bug",EdgeAI,False,4,professional
130,368,4711.0,account,high,closed,Gantt chart not rendering correctly,2024-10-12 22:41:41,2024-10-13 10:41:41,2024-10-16 14:41:41,,False,bug,NexusWorks,True,3,starter
131,777,,api,low,waiting_on_customer,API rate limiting issues,2025-02-11 16:48:43,2025-02-14 05:48:43,,,False,"feature, mobile",LinkCorp,True,2,starter
132,270,3749.0,api,low,closed,White label logo not displaying,2024-01-11 16:32:23,2024-01-13 20:32:23,2024-01-18 18:32:23,4.0,False,,JadeTech,True,5,professional
133,734,,account,critical,closed,Billing discrepancy on latest invoice,2023-10-29 07:40:36,2023-10-29 09:04:36,2023-10-30 11:04:36,2.0,False,"feature,performance",KeenSolutions,True,5,professional
134,728,,account,critical,closed,GDPR data export request,2025-08-14 14:27:07,2025-08-14 15:54:07,2025-08-14 23:54:07,,False,,HubHQ,False,5,professional
135,1130,,feature_request,medium,in_progress,Report generation timeout,2025-05-29 19:58:56,2025-05-31 07:58:56,,,False,,EdgeLogic,True,4,professional
136,685,,billing,low,resolved,Custom workflow automation broken,2024-11-15 04:35:52,2024-11-17 02:35:52,2024-11-18 19:35:52,3.0,False,performance,Peak Systems,True,3,starter
137,326,4193.0,account,low,waiting_on_customer,Slow loading on project boards,2025-10-16 14:29:02,2025-10-18 08:29:02,,,False,"export,security",NexusAnalytics,False,3,starter
138,69,1079.0,billing,low,open,Mobile app crashes on Android,2025-01-10 10:16:27,,,,False,,Ion Dynamics,True,1,free
139,309,4100.0,data_export,critical,waiting_on_customer,Billing discrepancy on latest invoice,2024-10-17 07:00:50,2024-10-17 08:14:50,,,False,gdpr,NovaSolutions,False,4,professional
140,976,,technical,medium,resolved,Slow loading on project boards,2025-01-31 04:52:15,2025-02-02 00:52:15,2025-02-05 19:52:15,2.0,False,"integration, integration",Edge Ops,True,2,starter
141,645,8360.0,performance,low,closed,Gantt chart not rendering correctly,2025-06-28 23:51:43,2025-07-01 10:51:43,2025-07-02 11:51:43,5.0,False,"documentation,documentation",BoltCloud,True,2,starter
142,978,,performance,medium,resolved,Cannot login to dashboard,2024-07-29 02:27:39,2024-08-01 01:27:39,2024-08-05 10:27:39,,False,"migration , performance , billing , enterprise",Beam HQ,True,4,professional
143,1084,,api,medium,resolved,Need help with API authentication,2025-08-06 21:40:31,2025-08-08 23:40:31,2025-08-09 21:40:31,3.0,False,"export , onboarding , billing , mobile",GlowGroup,True,2,starter
144,1049,,account,medium,closed,SSO configuration help needed,2025-06-19 07:10:27,2025-06-22 03:10:27,2025-06-25 08:10:27,5.0,False,urgent,OnyxPlatform,True,2,starter
145,152,2189.0,feature_request,low,in_progress,Need to add more team members,2025-10-06 03:56:05,2025-10-06 23:56:05,,,False,"ux,bug",QuarkHub,True,2,starter
146,940,,billing,low,open,GDPR data export request,2023-08-24 12:35:52,,,,False,"mobile , security , export , mobile",PeakCloud,True,2,starter
147,726,,account,low,open,Cannot downgrade plan,2025-06-07 13:27:13,,,,False,api;feature;mobile,Kite Cloud,True,5,professional
148,963,,api,high,open,White label logo not displaying,2025-08-16 14:26:58,,,,False,,Grid Hub,True,4,professional
149,690,,technical,medium,in_progress,GDPR data export request,2024-08-07 16:22:05,2024-08-09 07:22:05,,,False,ux;export;billing;performance,HubVentures,True,3,starter
150,795,,data_export,critical,open,Data import from CSV failing,2023-03-06 07:22:38,,,,False,"ux , performance , integration",Acme Ventures,True,5,professional
151,1002,,technical,medium,open,Time tracking sync issues,2025-03-02 00:52:29,,,,False,"feature,security,onboarding,ux,feature",RushWorks,False,4,professional
152,882,,onboarding,low,in_progress,Time tracking sync issues,2025-01-03 18:47:48,2025-01-06 06:47:48,,,False,"feature , gdpr , training , documentation",JetPlatform,True,5,professional
153,276,3804.0,technical,medium,resolved,Account merge request,2024-06-28 20:40:42,2024-07-01 00:40:42,2024-07-06 15:40:42,,False,export,UltraPlatform,True,4,professional
154,207,2939.0,onboarding,medium,open,Mobile app crashes on Android,2024-11-19 15:34:29,,,,False,,OnyxDynamics,True,1,free
155,147,2147.0,account,medium,resolved,Cannot downgrade plan,2024-03-08 09:16:55,2024-03-08 17:16:55,2024-03-10 16:16:55,3.0,False,"sso , integration",PulsePlatform,True,2,starter
156,1161,,feature_request,high,in_progress,Time tracking sync issues,2024-12-21 13:43:40,2024-12-21 22:43:40,,,False,onboarding;sso;training,ZenSoftware,False,5,professional
157,1158,,account,low,waiting_on_customer,Mobile app crashes on Android,2025-08-19 16:15:51,2025-08-20 13:15:51,,,False,"training , technical",ZealTech,True,4,professional
158,489,6230.0,billing,critical,in_progress,Audit log access denied,2025-10-17 10:56:28,2025-10-17 11:55:28,,,False,"integration, enterprise, api",Warp Hub,True,1,free
159,864,,integration,low,in_progress,Permission settings not saving,2025-07-17 21:43:31,2025-07-19 17:43:31,,,False,enterprise,Zen Ventures,True,2,starter
160,908,,integration,low,open,Custom workflow automation broken,2024-09-30 00:18:40,,,,False,migration;bug;training,OnyxGroup,True,4,professional
161,214,3100.0,technical,critical,closed,API rate limiting issues,2024-01-16 04:39:32,2024-01-16 06:37:32,2024-01-20 14:37:32,3.0,False,"api, bug",UltraSolutions,True,6,enterprise
162,611,7812.0,account,medium,in_progress,API rate limiting issues,2025-08-09 23:04:03,2025-08-10 23:04:03,,,False,ux;integration;ux,RiftDynamics,False,1,free
163,403,5141.0,security,low,in_progress,Feature request: dark mode,2025-06-30 06:55:47,2025-07-02 13:55:47,,,False,onboarding,RiftIO,True,4,professional
164,742,,account,medium,open,Export failing for large datasets,2024-09-15 10:25:24,,,,False,mobile;performance,CloudWorks,True,4,professional
165,378,4814.0,account,medium,waiting_on_customer,Integration with Slack not working,2025-10-25 05:30:42,2025-10-27 06:30:42,,,False,technical;onboarding;training;sso,Bolt Digital,True,5,professional
166,234,3308.0,billing,low,closed,Permission settings not saving,2025-04-12 00:31:04,2025-04-14 09:31:04,2025-04-18 09:31:04,,False,,LinkNet,True,4,professional
167,89,1363.0,security,low,resolved,Cannot downgrade plan,2025-10-19 07:41:00,2025-10-20 13:41:00,2025-10-26 02:41:00,2.0,False,"integration, technical, training",WavePro,True,6,enterprise
168,1118,,api,medium,open,Report generation timeout,2025-07-23 03:23:58,,,,False,,JadeCloud,True,1,free
